frame_number,timestamp,object_class_id,object_class_name,confidence_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2
99,1.65165,63,laptop,0.9374404549598694,958,1598,2159,2811
99,1.65165,39,bottle,0.9028962850570679,454,1406,934,2406
100,1.6683333333333334,63,laptop,0.9366785883903503,955,1596,2159,2809
100,1.6683333333333334,39,bottle,0.9057191610336304,450,1401,931,2403
101,1.6850166666666666,63,laptop,0.9372134804725647,952,1594,2159,2809
101,1.6850166666666666,39,bottle,0.9029066562652588,449,1409,924,2417
102,1.7017,63,laptop,0.938010036945343,949,1594,2159,2808
102,1.7017,39,bottle,0.9063036441802979,449,1401,926,2403
103,1.7183833333333334,63,laptop,0.9377082586288452,946,1594,2158,2805
103,1.7183833333333334,39,bottle,0.9067869186401367,448,1401,923,2403
104,1.7350666666666668,63,laptop,0.9373140931129456,945,1595,2158,2804
104,1.7350666666666668,39,bottle,0.9046275615692139,442,1400,922,2402
105,1.7517500000000001,63,laptop,0.9352540969848633,943,1593,2156,2801
105,1.7517500000000001,39,bottle,0.8993114233016968,441,1401,917,2402
106,1.7684333333333333,63,laptop,0.9351774454116821,938,1594,2154,2798
106,1.7684333333333333,39,bottle,0.8936850428581238,436,1400,916,2401
107,1.7851166666666667,63,laptop,0.9354674816131592,937,1596,2155,2792
107,1.7851166666666667,39,bottle,0.8867155909538269,434,1401,910,2400
108,1.8018,63,laptop,0.9369999170303345,932,1597,2154,2786
108,1.8018,39,bottle,0.8837224245071411,430,1401,906,2399
109,1.8184833333333335,63,laptop,0.9374516606330872,930,1599,2150,2784
109,1.8184833333333335,39,bottle,0.8789569735527039,427,1403,903,2401
110,1.8351666666666666,63,laptop,0.9382108449935913,926,1601,2145,2781
110,1.8351666666666666,39,bottle,0.870459258556366,424,1409,899,2407
111,1.85185,63,laptop,0.9380633234977722,921,1602,2138,2781
111,1.85185,39,bottle,0.8780293464660645,417,1411,896,2407
112,1.8685333333333334,63,laptop,0.9346824884414673,917,1599,2132,2779
112,1.8685333333333334,39,bottle,0.8770807981491089,409,1407,891,2402
113,1.8852166666666668,63,laptop,0.9300406575202942,910,1597,2126,2777
113,1.8852166666666668,39,bottle,0.8972626328468323,404,1414,889,2409
114,1.9019,63,laptop,0.9289546012878418,905,1599,2118,2775
114,1.9019,39,bottle,0.8981528282165527,402,1410,882,2403
114,1.9019,64,mouse,0.43751490116119385,1946,2077,2158,2362
115,1.9185833333333333,63,laptop,0.9315691590309143,898,1599,2110,2770
115,1.9185833333333333,39,bottle,0.8980311751365662,399,1411,879,2405
115,1.9185833333333333,64,mouse,0.5272520184516907,1940,2077,2158,2368
116,1.9352666666666667,63,laptop,0.9318030476570129,895,1602,2103,2766
116,1.9352666666666667,39,bottle,0.9104628562927246,395,1412,876,2405
116,1.9352666666666667,64,mouse,0.6110487580299377,1935,2072,2159,2367
117,1.95195,63,laptop,0.9318889379501343,891,1603,2097,2765
117,1.95195,39,bottle,0.9199331998825073,394,1416,873,2406
117,1.95195,64,mouse,0.45505091547966003,1932,2070,2159,2372
118,1.9686333333333335,63,laptop,0.9343243837356567,888,1603,2087,2761
118,1.9686333333333335,39,bottle,0.9193351864814758,390,1417,870,2406
119,1.9853166666666666,63,laptop,0.9358410835266113,885,1601,2088,2753
119,1.9853166666666666,39,bottle,0.9155457019805908,384,1418,866,2406
119,1.9853166666666666,64,mouse,0.4213016927242279,2073,2498,2160,2640
120,2.0020000000000002,63,laptop,0.9380252957344055,879,1604,2071,2751
120,2.0020000000000002,39,bottle,0.9192385673522949,382,1420,861,2407
120,2.0020000000000002,64,mouse,0.49903133511543274,2069,2497,2160,2639
121,2.018683333333333,63,laptop,0.9408203363418579,877,1601,2072,2751
121,2.018683333333333,39,bottle,0.9191877841949463,378,1423,857,2408
121,2.018683333333333,64,mouse,0.5431702733039856,2061,2495,2160,2643
122,2.0353666666666665,63,laptop,0.9440777897834778,876,1601,2066,2745
122,2.0353666666666665,39,bottle,0.9213073253631592,374,1424,854,2408
122,2.0353666666666665,64,mouse,0.6598623991012573,2053,2493,2159,2646
122,2.0353666666666665,64,mouse,0.45892617106437683,1920,2056,2159,2385
123,2.05205,63,laptop,0.9480947852134705,872,1603,2052,2741
123,2.05205,39,bottle,0.9263228178024292,369,1427,854,2408
123,2.05205,64,mouse,0.6626529693603516,2051,2490,2159,2646
123,2.05205,64,mouse,0.4693380296230316,1910,2056,2159,2386
124,2.0687333333333333,63,laptop,0.9490333199501038,868,1604,2047,2738
124,2.0687333333333333,39,bottle,0.921692967414856,364,1428,851,2406
124,2.0687333333333333,64,mouse,0.642333447933197,2045,2488,2158,2650
125,2.0854166666666667,63,laptop,0.9493749737739563,863,1601,2041,2736
125,2.0854166666666667,39,bottle,0.9121962785720825,357,1429,846,2406
125,2.0854166666666667,64,mouse,0.7119222283363342,2039,2485,2159,2653
126,2.1021,63,laptop,0.9483711123466492,859,1599,2036,2733
126,2.1021,39,bottle,0.9082898497581482,347,1429,843,2405
126,2.1021,64,mouse,0.7082915902137756,2031,2481,2159,2656
127,2.1187833333333335,63,laptop,0.9465446472167969,857,1598,2032,2730
127,2.1187833333333335,39,bottle,0.9074247479438782,349,1427,837,2404
127,2.1187833333333335,64,mouse,0.7518720030784607,2026,2478,2159,2657
128,2.135466666666667,63,laptop,0.9477787613868713,850,1597,2028,2730
128,2.135466666666667,39,bottle,0.9070866107940674,347,1428,833,2403
128,2.135466666666667,64,mouse,0.7324119806289673,2022,2475,2159,2658
128,2.135466666666667,64,mouse,0.591838538646698,1982,2038,2159,2392
129,2.1521500000000002,63,laptop,0.9470018744468689,847,1599,2023,2729
129,2.1521500000000002,39,bottle,0.9108582139015198,337,1426,831,2402
129,2.1521500000000002,64,mouse,0.664466381072998,2010,2473,2159,2660
129,2.1521500000000002,64,mouse,0.5592092275619507,1978,2036,2160,2392
130,2.168833333333333,63,laptop,0.9462699890136719,844,1599,2013,2726
130,2.168833333333333,39,bottle,0.9026573896408081,338,1427,825,2401
130,2.168833333333333,64,mouse,0.6951797604560852,2004,2472,2158,2665
130,2.168833333333333,64,mouse,0.4056066870689392,1974,2030,2159,2393
131,2.1855166666666666,63,laptop,0.9461047053337097,835,1598,2005,2724
131,2.1855166666666666,39,bottle,0.9026634693145752,333,1428,819,2403
131,2.1855166666666666,64,mouse,0.5876163244247437,1999,2470,2158,2668
131,2.1855166666666666,39,bottle,0.5182128548622131,1842,1777,2076,2098
132,2.2022,63,laptop,0.9436261653900146,828,1599,2000,2721
132,2.2022,39,bottle,0.9039482474327087,330,1430,813,2401
132,2.2022,64,mouse,0.4325449764728546,1993,2468,2159,2670
133,2.2188833333333333,63,laptop,0.9392672181129456,823,1600,1993,2720
133,2.2188833333333333,39,bottle,0.9077056646347046,327,1434,807,2402
133,2.2188833333333333,64,mouse,0.4716049134731293,1984,2466,2158,2669
134,2.2355666666666667,63,laptop,0.9373340010643005,820,1602,1986,2718
134,2.2355666666666667,39,bottle,0.9017419815063477,319,1437,804,2403
134,2.2355666666666667,39,bottle,0.5150414109230042,1828,1775,2055,2094
134,2.2355666666666667,64,mouse,0.459147572517395,1978,2465,2158,2669
135,2.25225,63,laptop,0.9370746612548828,818,1604,1980,2714
135,2.25225,39,bottle,0.9049826264381409,313,1436,801,2403
136,2.2689333333333335,63,laptop,0.9358640313148499,816,1603,1974,2710
136,2.2689333333333335,39,bottle,0.896396815776825,306,1436,797,2406
136,2.2689333333333335,39,bottle,0.5376845002174377,1811,1772,2046,2090
136,2.2689333333333335,64,mouse,0.41949960589408875,1959,2460,2159,2664
137,2.285616666666667,63,laptop,0.9343465566635132,814,1600,1973,2713
137,2.285616666666667,39,bottle,0.9016518592834473,301,1435,792,2405
137,2.285616666666667,64,mouse,0.6968280076980591,1954,2458,2160,2662
137,2.285616666666667,39,bottle,0.5640256404876709,1811,1770,2042,2089
138,2.3023000000000002,63,laptop,0.93321293592453,809,1598,1961,2704
138,2.3023000000000002,39,bottle,0.9028093218803406,296,1435,787,2404
138,2.3023000000000002,64,mouse,0.6827947497367859,1952,2453,2159,2661
138,2.3023000000000002,39,bottle,0.5387505888938904,1803,1771,2032,2092
139,2.318983333333333,63,laptop,0.9332779049873352,805,1602,1958,2708
139,2.318983333333333,39,bottle,0.9093136787414551,291,1433,784,2404
139,2.318983333333333,64,mouse,0.6787672638893127,1948,2452,2159,2656
139,2.318983333333333,39,bottle,0.5823147296905518,1806,1774,2030,2084
140,2.3356666666666666,63,laptop,0.9326013326644897,802,1604,1949,2705
140,2.3356666666666666,39,bottle,0.9211843013763428,291,1433,779,2404
140,2.3356666666666666,64,mouse,0.7146795392036438,1943,2452,2159,2651
140,2.3356666666666666,39,bottle,0.5188071727752686,1799,1773,2026,2082
141,2.35235,63,laptop,0.9313377737998962,796,1599,1942,2696
141,2.35235,39,bottle,0.9201076626777649,285,1432,775,2406
141,2.35235,64,mouse,0.5739514231681824,1939,2450,2159,2652
142,2.3690333333333333,63,laptop,0.932949423789978,788,1601,1939,2695
142,2.3690333333333333,39,bottle,0.9148650169372559,277,1431,771,2405
142,2.3690333333333333,64,mouse,0.6943634748458862,1934,2451,2159,2650
143,2.3857166666666667,63,laptop,0.9339374303817749,784,1603,1932,2693
143,2.3857166666666667,39,bottle,0.9168224334716797,258,1429,763,2403
143,2.3857166666666667,64,mouse,0.7966080904006958,1927,2448,2159,2647
144,2.4024,63,laptop,0.9336833357810974,780,1601,1927,2692
144,2.4024,39,bottle,0.9213468432426453,244,1430,760,2402
144,2.4024,64,mouse,0.7747393250465393,1920,2446,2159,2644
144,2.4024,39,bottle,0.4186544120311737,1778,1768,2005,2089
145,2.4190833333333335,63,laptop,0.933883011341095,778,1602,1921,2691
145,2.4190833333333335,39,bottle,0.9118832349777222,242,1432,758,2408
145,2.4190833333333335,64,mouse,0.7759422659873962,1911,2444,2159,2642
145,2.4190833333333335,39,bottle,0.43450772762298584,1773,1768,1997,2085
146,2.435766666666667,63,laptop,0.9358702301979065,775,1597,1915,2689
146,2.435766666666667,39,bottle,0.9073983430862427,243,1429,755,2404
146,2.435766666666667,64,mouse,0.8409488797187805,1909,2443,2159,2640
146,2.435766666666667,39,bottle,0.5273398160934448,1768,1765,1995,2073
147,2.4524500000000002,63,laptop,0.9357160925865173,770,1600,1911,2688
147,2.4524500000000002,39,bottle,0.911457896232605,244,1426,750,2403
147,2.4524500000000002,64,mouse,0.8751434683799744,1909,2442,2158,2638
148,2.469133333333333,63,laptop,0.9356757402420044,768,1597,1907,2687
148,2.469133333333333,39,bottle,0.9030579924583435,239,1423,748,2401
148,2.469133333333333,64,mouse,0.827207088470459,1906,2439,2158,2637
149,2.4858166666666666,63,laptop,0.9363202452659607,763,1598,1904,2685
149,2.4858166666666666,39,bottle,0.9036985635757446,238,1423,745,2407
149,2.4858166666666666,64,mouse,0.8174706101417542,1904,2436,2159,2635
150,2.5025,63,laptop,0.9349863529205322,761,1600,1902,2684
150,2.5025,39,bottle,0.9029163122177124,231,1420,741,2403
150,2.5025,64,mouse,0.8370498418807983,1900,2436,2158,2632
151,2.5191833333333333,63,laptop,0.934303343296051,758,1601,1899,2683
151,2.5191833333333333,39,bottle,0.894371509552002,221,1424,738,2407
151,2.5191833333333333,64,mouse,0.8109177947044373,1898,2434,2156,2631
152,2.5358666666666667,63,laptop,0.934315025806427,755,1600,1896,2682
152,2.5358666666666667,39,bottle,0.8964425325393677,225,1420,736,2401
152,2.5358666666666667,64,mouse,0.8254770040512085,1895,2431,2156,2628
153,2.55255,63,laptop,0.9352940320968628,752,1599,1892,2682
153,2.55255,39,bottle,0.8922083377838135,219,1417,733,2404
153,2.55255,64,mouse,0.8764838576316833,1891,2429,2154,2626
154,2.5692333333333335,63,laptop,0.9354138374328613,748,1598,1890,2678
154,2.5692333333333335,64,mouse,0.9136499166488647,1886,2429,2151,2625
154,2.5692333333333335,39,bottle,0.9005010724067688,214,1420,730,2404
155,2.585916666666667,63,laptop,0.937127947807312,743,1598,1885,2676
155,2.585916666666667,64,mouse,0.9050180912017822,1883,2429,2148,2623
155,2.585916666666667,39,bottle,0.8954236507415771,211,1416,726,2403
156,2.6026000000000002,63,laptop,0.9341721534729004,740,1598,1881,2674
156,2.6026000000000002,39,bottle,0.8987215757369995,206,1419,725,2413
156,2.6026000000000002,64,mouse,0.8329197764396667,1879,2426,2144,2622
157,2.619283333333333,63,laptop,0.9349136352539062,735,1598,1878,2674
157,2.619283333333333,39,bottle,0.9011231064796448,200,1419,721,2419
157,2.619283333333333,64,mouse,0.8552536368370056,1873,2423,2136,2621
158,2.6359666666666666,63,laptop,0.937987744808197,732,1596,1874,2673
158,2.6359666666666666,39,bottle,0.8874714970588684,199,1418,715,2418
158,2.6359666666666666,64,mouse,0.8551995754241943,1870,2423,2132,2620
159,2.65265,63,laptop,0.9360336065292358,730,1599,1869,2670
159,2.65265,39,bottle,0.8916337490081787,200,1417,713,2416
159,2.65265,64,mouse,0.7983325123786926,1861,2421,2125,2618
160,2.6693333333333333,63,laptop,0.93643718957901,727,1597,1865,2668
160,2.6693333333333333,39,bottle,0.8879746794700623,197,1419,711,2416
160,2.6693333333333333,64,mouse,0.7673500776290894,1858,2420,2119,2616
161,2.6860166666666667,63,laptop,0.9341854453086853,726,1597,1862,2666
161,2.6860166666666667,39,bottle,0.8879844546318054,190,1419,708,2416
